origin,destination,distance_km,duration_min,time_of_day,hour,weather,day_type,traffic,service_type,price
Madhapur,Miyapur,8.32,19,Evening,20,Clear,Weekday,Light,Economy,121
Jubilee Hills,Ameerpet,5.71,19,Afternoon,16,Thunderstorm,Weekend,Moderate,Economy,172
Hitech City,Lingampally,10.38,23,Afternoon,15,Clear,Weekday,Light,Premium,221
Abids,Paradise Circle,7.54,23,Morning,10,Clear,Weekend,Moderate,Standard,181
Jubilee Hills,Financial District,8.94,26,Night,21,Clear,Weekday,Moderate,Premium,243
KPHB,Kukatpally,2.68,10,Night,3,Clear,Weekday,Light,Standard,87
Jubilee Hills,Koti,11.6,51,Night,3,Clear,Weekday,Heavy,Premium,456
Kukatpally,Abids,16.13,44,Morning,7,Rainy,Weekday,Moderate,Standard,477
Botanical Garden,Lingampally,11.84,33,Morning,6,Clear,Holiday,Moderate,Premium,372
LB Nagar,Paradise Circle,16.06,33,Afternoon,16,Cloudy,Weekday,Light,Premium,335
Ameerpet,Kukatpally,8.6,26,Morning,11,Rainy,Weekday,Moderate,Standard,231
Inorbit Mall,Banjara Hills,6.66,21,Afternoon,12,Rainy,Weekend,Moderate,Premium,277
Inorbit Mall,Ameerpet,8.14,38,Evening,17,Rainy,Weekday,Heavy,Economy,297
Jubilee Hills,Begumpet,8.09,24,Morning,8,Cloudy,Weekday,Moderate,Standard,214
Golconda Fort,Gachibowli,10.92,24,Afternoon,15,Clear,Weekday,Light,Standard,183
LB Nagar,Inorbit Mall,26.44,68,Morning,6,Cloudy,Weekday,Moderate,Economy,405
Ameerpet,Banjara Hills,3.76,11,Night,0,Clear,Weekday,Light,Premium,133
Inorbit Mall,Dilsukhnagar,21.25,56,Morning,7,Clear,Weekday,Moderate,Premium,597
Gachibowli,Jubilee Hills,8.36,38,Morning,8,Clear,Weekday,Heavy,Economy,213
Hitech City,Gachibowli,3.91,12,Morning,7,Rainy,Holiday,Light,Premium,221
Lakdikapul,Golconda Fort,7.88,19,Morning,8,Clear,Holiday,Light,Economy,189
Ameerpet,Golconda Fort,9.96,29,Morning,7,Rainy,Weekday,Moderate,Premium,400
Paradise Circle,Madhapur,14.19,29,Morning,7,Clear,Weekend,Light,Economy,253
Shamshabad Airport,Lakdikapul,23.92,101,Afternoon,13,Clear,Weekday,Heavy,Economy,462
Gachibowli,Hitech City,3.91,12,Morning,5,Cloudy,Weekday,Light,Premium,120
Paradise Circle,Botanical Garden,14.24,62,Morning,11,Cloudy,Weekend,Heavy,Standard,401
Banjara Hills,Film Nagar,2.05,9,Morning,6,Clear,Weekday,Light,Economy,55
Ameerpet,Jubilee Hills,5.71,19,Evening,17,Rainy,Weekend,Moderate,Economy,212
Hitech City,Film Nagar,7.75,36,Morning,5,Clear,Weekday,Heavy,Standard,204
Kukatpally,Golconda Fort,14.72,40,Morning,11,Clear,Weekday,Moderate,Premium,359
Jubilee Hills,Banjara Hills,3.49,13,Evening,17,Thunderstorm,Weekday,Moderate,Economy,156
Secunderabad,Botanical Garden,14.76,30,Morning,9,Clear,Holiday,Light,Premium,454
Hitech City,Jubilee Hills,5.45,27,Morning,7,Cloudy,Weekday,Heavy,Premium,250
Dilsukhnagar,Lakdikapul,11.01,31,Morning,6,Cloudy,Weekend,Moderate,Premium,341
Mehdipatnam,Lakdikapul,2.28,9,Morning,11,Rainy,Weekday,Light,Economy,71
Kukatpally,Abids,16.13,44,Evening,18,Clear,Weekday,Moderate,Standard,403
Tank Bund,Financial District,18.08,36,Morning,6,Cloudy,Weekend,Light,Premium,406
Dilsukhnagar,LB Nagar,5.27,18,Morning,6,Cloudy,Weekday,Moderate,Economy,110
Paradise Circle,Abids,7.54,35,Afternoon,16,Clear,Weekend,Heavy,Premium,276
Tank Bund,Inorbit Mall,12.07,34,Morning,5,Thunderstorm,Weekend,Moderate,Standard,366
Financial District,Hitech City,6.61,31,Morning,11,Clear,Weekday,Heavy,Economy,157
Madhapur,Secunderabad,14.7,40,Afternoon,15,Clear,Weekday,Moderate,Standard,270
Golconda Fort,Secunderabad,15.71,32,Morning,5,Light Rain,Weekday,Light,Economy,252
Madhapur,Jubilee Hills,4.02,21,Morning,7,Clear,Weekday,Heavy,Premium,192
Mehdipatnam,Inorbit Mall,9.37,27,Evening,20,Clear,Weekday,Moderate,Standard,204
Film Nagar,Golconda Fort,4.5,23,Evening,18,Clear,Weekday,Heavy,Premium,243
Hitech City,Gachibowli,3.91,12,Afternoon,16,Clear,Weekday,Light,Standard,85
Banjara Hills,Lakdikapul,3.58,14,Morning,5,Cloudy,Weekday,Moderate,Standard,103
Miyapur,Shamshabad Airport,38.65,98,Afternoon,15,Cloudy,Weekend,Moderate,Economy,647
Lakdikapul,Banjara Hills,3.58,11,Night,23,Clear,Weekend,Light,Economy,99
KPHB,Shamshabad Airport,36.94,68,Afternoon,16,Clear,Weekday,Light,Economy,460
Dilsukhnagar,Lingampally,33.72,63,Evening,19,Clear,Weekend,Light,Standard,699
Paradise Circle,Tank Bund,3.89,12,Afternoon,12,Clear,Weekday,Light,Economy,73
Koti,Uppal,11.48,51,Evening,18,Rainy,Weekday,Heavy,Premium,597
LB Nagar,KPHB,30.95,58,Morning,6,Rainy,Weekday,Light,Economy,468
Kukatpally,LB Nagar,28.39,54,Morning,10,Clear,Weekday,Light,Economy,364
Hitech City,Koti,17.02,46,Evening,18,Light Rain,Weekend,Moderate,Economy,432
KPHB,Koti,20.07,39,Afternoon,16,Rainy,Weekday,Light,Standard,384
Financial District,Paradise Circle,21.28,41,Morning,6,Rainy,Weekend,Light,Premium,610
Golconda Fort,Film Nagar,4.5,23,Morning,5,Clear,Weekend,Heavy,Premium,200
Miyapur,Uppal,29.25,122,Afternoon,13,Clear,Weekday,Heavy,Economy,557
Film Nagar,Charminar,10.65,48,Morning,8,Clear,Weekday,Heavy,Standard,334
Uppal,Kukatpally,23.61,62,Morning,10,Rainy,Weekday,Moderate,Standard,533
Golconda Fort,Secunderabad,15.71,32,Night,21,Clear,Weekday,Light,Economy,219
Lingampally,Abids,26.08,109,Morning,5,Clear,Weekday,Heavy,Standard,563
Shamshabad Airport,Golconda Fort,21.04,89,Night,4,Rainy,Weekend,Heavy,Economy,654
Financial District,Botanical Garden,8.68,20,Night,21,Cloudy,Weekday,Light,Premium,205
Begumpet,Shamshabad Airport,29.81,77,Afternoon,13,Cloudy,Weekday,Moderate,Premium,749
Film Nagar,Dilsukhnagar,16.03,32,Afternoon,12,Thunderstorm,Weekday,Light,Standard,362
Golconda Fort,Kukatpally,14.72,30,Night,2,Clear,Weekend,Light,Economy,274
Inorbit Mall,Botanical Garden,2.56,11,Afternoon,14,Clear,Weekend,Moderate,Premium,121
Begumpet,Gachibowli,15.58,67,Morning,9,Clear,Weekday,Heavy,Standard,436
Hitech City,Botanical Garden,2.28,14,Evening,19,Rainy,Weekday,Heavy,Economy,128
Mehdipatnam,Shamshabad Airport,22.4,95,Morning,8,Light Rain,Weekday,Heavy,Premium,931
Tank Bund,Abids,4.43,16,Morning,6,Clear,Weekday,Moderate,Economy,94
Banjara Hills,Jubilee Hills,3.49,13,Afternoon,13,Clear,Weekday,Moderate,Standard,96
Dilsukhnagar,Miyapur,28.52,54,Afternoon,13,Clear,Weekend,Light,Premium,599
Ameerpet,Inorbit Mall,8.14,38,Evening,18,Clear,Weekend,Heavy,Standard,294
Jubilee Hills,Hitech City,5.45,27,Morning,5,Light Rain,Weekday,Heavy,Premium,231
Charminar,Botanical Garden,17.36,74,Evening,17,Clear,Weekday,Heavy,Premium,710
Abids,Lingampally,26.08,109,Evening,19,Clear,Weekday,Heavy,Premium,962
Botanical Garden,Film Nagar,6.93,17,Morning,7,Clear,Weekend,Light,Premium,228
Ameerpet,Charminar,11.62,25,Afternoon,12,Cloudy,Weekday,Light,Standard,205
Ameerpet,Secunderabad,7.21,34,Morning,10,Clear,Weekday,Heavy,Economy,168
Miyapur,Koti,22.74,44,Morning,7,Clear,Weekend,Light,Premium,614
Ameerpet,Lakdikapul,4.9,17,Night,4,Rainy,Holiday,Moderate,Premium,299
Jubilee Hills,Uppal,21.06,89,Evening,18,Clear,Weekday,Heavy,Standard,632
Tank Bund,Lingampally,23.78,100,Evening,17,Rainy,Weekday,Heavy,Premium,1112
Hitech City,Inorbit Mall,2.34,11,Evening,17,Rainy,Weekend,Moderate,Standard,143
Shamshabad Airport,Botanical Garden,31.05,80,Morning,6,Thunderstorm,Weekday,Moderate,Economy,644
Ameerpet,Shamshabad Airport,28.56,54,Morning,6,Clear,Weekend,Light,Standard,486
Charminar,Dilsukhnagar,6.98,33,Evening,17,Clear,Weekday,Heavy,Economy,212
Kukatpally,KPHB,2.68,16,Evening,18,Clear,Weekday,Heavy,Standard,134
Jubilee Hills,Financial District,8.94,41,Evening,19,Cloudy,Weekday,Heavy,Standard,315
Hitech City,Lakdikapul,12.41,26,Morning,11,Clear,Weekday,Light,Premium,255
Madhapur,Paradise Circle,14.19,29,Morning,11,Cloudy,Weekday,Light,Economy,212
Paradise Circle,Madhapur,14.19,39,Afternoon,14,Cloudy,Weekday,Moderate,Standard,279
Gachibowli,LB Nagar,31.47,59,Afternoon,12,Clear,Weekday,Light,Premium,604
Kukatpally,Secunderabad,13.95,29,Afternoon,12,Cloudy,Weekday,Light,Standard,239
LB Nagar,Golconda Fort,21.87,92,Morning,9,Thunderstorm,Weekday,Heavy,Standard,836
LB Nagar,Lingampally,38.96,161,Evening,19,Clear,Weekday,Heavy,Economy,955
Lakdikapul,Secunderabad,8.02,19,Afternoon,16,Rainy,Weekday,Light,Economy,158
Dilsukhnagar,LB Nagar,5.27,14,Afternoon,12,Thunderstorm,Weekend,Light,Premium,224
Dilsukhnagar,Lakdikapul,11.01,24,Morning,7,Clear,Weekend,Light,Standard,253
Ameerpet,Banjara Hills,3.76,11,Morning,10,Cloudy,Weekday,Light,Economy,79
LB Nagar,Golconda Fort,21.87,42,Afternoon,12,Clear,Weekday,Light,Economy,296
LB Nagar,Koti,11.67,25,Morning,7,Rainy,Weekend,Light,Standard,324
Golconda Fort,Kukatpally,14.72,40,Afternoon,12,Clear,Weekend,Moderate,Standard,324
Film Nagar,Lingampally,18.11,48,Morning,10,Clear,Weekday,Moderate,Standard,341
Golconda Fort,Film Nagar,4.5,16,Morning,11,Clear,Weekday,Moderate,Standard,120
Mehdipatnam,Paradise Circle,10.08,29,Afternoon,15,Clear,Weekday,Moderate,Economy,178
Botanical Garden,Koti,15.68,68,Morning,8,Rainy,Weekday,Heavy,Premium,731
Hitech City,Uppal,25.87,108,Evening,17,Light Rain,Weekday,Heavy,Economy,775
Dilsukhnagar,Miyapur,28.52,73,Morning,11,Clear,Weekday,Moderate,Economy,450
Tank Bund,Jubilee Hills,9.2,21,Afternoon,15,Cloudy,Weekday,Light,Premium,228
Koti,Lakdikapul,4.68,24,Morning,8,Clear,Weekday,Heavy,Standard,168
Dilsukhnagar,KPHB,25.71,67,Morning,6,Clear,Weekend,Moderate,Premium,662
Film Nagar,Charminar,10.65,48,Evening,17,Clear,Weekday,Heavy,Standard,345
Financial District,Lingampally,11.72,33,Afternoon,16,Cloudy,Weekday,Moderate,Standard,246
Film Nagar,Secunderabad,11.99,26,Afternoon,16,Clear,Weekday,Light,Standard,208
Inorbit Mall,Kukatpally,7.81,36,Morning,8,Clear,Weekday,Heavy,Standard,247
Financial District,Charminar,19.69,52,Night,4,Rainy,Weekday,Moderate,Economy,455
LB Nagar,Kukatpally,28.39,119,Morning,11,Cloudy,Weekday,Heavy,Standard,662
Dilsukhnagar,Secunderabad,10.89,31,Afternoon,12,Rainy,Weekday,Moderate,Premium,370
Lingampally,LB Nagar,38.96,161,Morning,9,Clear,Weekday,Heavy,Premium,1335
Kukatpally,LB Nagar,28.39,119,Afternoon,12,Clear,Weekday,Heavy,Premium,786
Secunderabad,Lingampally,26.13,110,Evening,18,Cloudy,Weekday,Heavy,Premium,1004
Kukatpally,Dilsukhnagar,23.17,98,Evening,17,Clear,Holiday,Heavy,Premium,1131
Financial District,Ameerpet,14.59,30,Evening,20,Rainy,Weekend,Light,Standard,325
